CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0072,0.9828190965756363
C0001,C0190,0.9812391897267846
C0001,C0069,0.9699193250444607
C0002,C0029,0.9994734192200913
C0002,C0010,0.9981905035357103
C0002,C0142,0.9841197926742291
C0003,C0125,0.9888129576105819
C0003,C0005,0.9677589012686492
C0003,C0112,0.9639496319475054
C0004,C0173,0.9928088934223872
C0004,C0012,0.9790721703671642
C0004,C0124,0.959604188225292
C0005,C0112,0.998775409421395
C0005,C0186,0.9846422432550002
C0005,C0003,0.9677589012686492
C0006,C0185,0.9592185890811772
C0006,C0171,0.9381815743571412
C0006,C0187,0.9325351722338734
C0007,C0085,0.9999283382037274
C0007,C0120,0.9973908438256037
C0007,C0140,0.9771147955407747
C0008,C0109,0.9747026450560696
C0008,C0093,0.9523315927401115
C0008,C0098,0.9448847671656605
C0009,C0077,0.9997713229478473
C0009,C0083,0.9963107799676496
C0009,C0033,0.9753226146873201
C0010,C0029,0.9996160120147123
C0010,C0002,0.9981905035357103
C0010,C0111,0.97882583015066
C0011,C0016,0.991513769152573
C0011,C0064,0.9655501049070111
C0011,C0137,0.9217001851685256
C0012,C0173,0.9845902797661253
C0012,C0004,0.9790721703671642
C0012,C0100,0.9699784483512214
C0013,C0143,0.9999364254578647
C0013,C0046,0.9947631331922757
C0013,C0099,0.9861200962630605
C0014,C0151,0.9957587051624723
C0014,C0128,0.9936102991939818
C0014,C0097,0.9860639357873836
C0015,C0095,0.9953267074396145
C0015,C0144,0.9936613129732644
C0015,C0123,0.9823592508164876
C0016,C0011,0.991513769152573
C0016,C0064,0.9911849067059502
C0016,C0037,0.9618536483490576
C0017,C0075,0.9692482571395216
C0017,C0021,0.9675811832583353
C0017,C0101,0.9550601071550744
C0018,C0053,0.9646414851625855
C0018,C0163,0.9639186182188638
C0018,C0114,0.962364511724724
C0019,C0189,0.9185786190798203
C0019,C0038,0.9080242366568939
C0019,C0121,0.8892626848552763
C0020,C0140,0.9813369950567808
C0020,C0120,0.9342899027553714
C0020,C0007,0.9313464607721903
